 ,Area,Mean,Min,Max
311,15950,255,255,255
312,25,255,255,255
313,25,255,255,255
314,75,255,255,255
315,1525,255,255,255
316,300,255,255,255
317,25,255,255,255
318,50,255,255,255
319,25,255,255,255
320,2225,255,255,255
321,2225,255,255,255
322,25,255,255,255
323,6575,255,255,255
324,25,255,255,255
325,25,255,255,255
326,50,255,255,255
327,25,255,255,255
328,25,255,255,255
329,75,255,255,255
330,25,255,255,255
331,75,255,255,255
332,1225,255,255,255
333,87950,255,255,255
334,875,255,255,255
335,325,255,255,255
336,875,255,255,255
337,25,255,255,255
338,150,255,255,255
339,1100,255,255,255
340,25,255,255,255
341,50,255,255,255
342,25,255,255,255
343,375,255,255,255
344,150,255,255,255
345,2125,255,255,255
346,100,255,255,255
347,475,255,255,255
348,25,255,255,255
349,325,255,255,255
350,75,255,255,255
351,25,255,255,255
352,50,255,255,255
353,25,255,255,255
354,75,255,255,255
355,1825,255,255,255
356,300,255,255,255
357,25,255,255,255
358,25,255,255,255
359,125,255,255,255
360,25,255,255,255
361,250,255,255,255
362,175,255,255,255
363,400,255,255,255
364,75,255,255,255
365,25,255,255,255
366,25,255,255,255
367,25,255,255,255
368,25,255,255,255
369,375,255,255,255
370,25,255,255,255
371,25,255,255,255
372,25,255,255,255
373,75,255,255,255
374,25,255,255,255
375,250,255,255,255
376,25,255,255,255
377,25,255,255,255
378,50,255,255,255
379,50,255,255,255
380,75,255,255,255
381,5925,255,255,255
382,25,255,255,255
383,200,255,255,255
384,25,255,255,255
385,875,255,255,255
386,25,255,255,255
387,175,255,255,255
388,125,255,255,255
389,50,255,255,255
390,25,255,255,255
391,25,255,255,255
392,250,255,255,255
393,225,255,255,255
394,75,255,255,255
395,25,255,255,255
396,100,255,255,255
397,2525,255,255,255
398,50,255,255,255
399,100,255,255,255
400,50,255,255,255
401,75,255,255,255
402,25,255,255,255
403,50,255,255,255
404,175,255,255,255
405,25,255,255,255
406,75,255,255,255
407,25,255,255,255
408,750,255,255,255
409,25,255,255,255
410,60800,255,255,255
