 ,Area,Mean,Min,Max
317,25,255,255,255
318,25,255,255,255
319,25,255,255,255
320,25,255,255,255
321,25,255,255,255
322,25,255,255,255
323,50,255,255,255
324,25,255,255,255
325,25,255,255,255
326,25,255,255,255
327,75,255,255,255
328,50,255,255,255
329,25,255,255,255
330,50,255,255,255
331,25,255,255,255
332,25,255,255,255
333,25,255,255,255
334,75,255,255,255
335,25,255,255,255
336,75,255,255,255
337,25,255,255,255
338,50,255,255,255
339,150,255,255,255
340,25,255,255,255
341,25,255,255,255
342,25,255,255,255
343,25,255,255,255
344,25,255,255,255
345,25,255,255,255
346,25,255,255,255
347,25,255,255,255
348,25,255,255,255
349,25,255,255,255
350,25,255,255,255
351,25,255,255,255
352,25,255,255,255
353,25,255,255,255
354,25,255,255,255
355,25,255,255,255
356,25,255,255,255
357,25,255,255,255
358,25,255,255,255
359,50,255,255,255
360,25,255,255,255
361,25,255,255,255
362,50,255,255,255
363,25,255,255,255
364,50,255,255,255
365,25,255,255,255
366,4138700,255,255,255
367,75,255,255,255
368,25,255,255,255
369,25,255,255,255
370,25,255,255,255
371,200,255,255,255
372,250,255,255,255
373,25,255,255,255
374,50,255,255,255
375,75,255,255,255
376,25,255,255,255
377,50,255,255,255
378,25,255,255,255
379,25,255,255,255
380,25,255,255,255
381,25,255,255,255
382,25,255,255,255
383,25,255,255,255
384,25,255,255,255
385,50,255,255,255
386,50,255,255,255
387,25,255,255,255
388,125,255,255,255
389,25,255,255,255
390,75,255,255,255
391,25,255,255,255
392,25,255,255,255
393,25,255,255,255
394,125,255,255,255
395,25,255,255,255
396,25,255,255,255
397,25,255,255,255
398,25,255,255,255
399,25,255,255,255
400,50,255,255,255
401,25,255,255,255
402,5275,255,255,255
403,25,255,255,255
404,25,255,255,255
405,100,255,255,255
406,25,255,255,255
407,75,255,255,255
408,25,255,255,255
409,25,255,255,255
410,25,255,255,255
411,75,255,255,255
412,50,255,255,255
413,25,255,255,255
414,900,255,255,255
415,25,255,255,255
416,50,255,255,255
417,25,255,255,255
418,25,255,255,255
419,25,255,255,255
420,1975,255,255,255
421,25,255,255,255
422,50,255,255,255
423,25,255,255,255
424,25,255,255,255
425,25,255,255,255
426,50,255,255,255
427,50,255,255,255
428,25,255,255,255
429,25,255,255,255
430,25,255,255,255
431,10200,255,255,255
432,75,255,255,255
433,25,255,255,255
434,50,255,255,255
435,25,255,255,255
436,75,255,255,255
437,25,255,255,255
438,25,255,255,255
439,25,255,255,255
440,25,255,255,255
441,25,255,255,255
442,25,255,255,255
443,25,255,255,255
444,25,255,255,255
445,1148300,255,255,255
446,25,255,255,255
447,25,255,255,255
448,25,255,255,255
449,25,255,255,255
450,50,255,255,255
451,25,255,255,255
452,25,255,255,255
453,41275,255,255,255
454,25,255,255,255
455,25,255,255,255
456,25,255,255,255
457,25,255,255,255
458,25,255,255,255
459,25,255,255,255
460,25,255,255,255
461,75,255,255,255
462,25,255,255,255
463,25,255,255,255
464,25,255,255,255
465,25,255,255,255
466,25,255,255,255
467,25,255,255,255
468,25,255,255,255
469,25,255,255,255
470,75,255,255,255
471,25,255,255,255
472,25,255,255,255
473,75,255,255,255
474,100,255,255,255
475,25,255,255,255
476,50,255,255,255
477,175,255,255,255
478,75,255,255,255
479,25,255,255,255
480,25,255,255,255
481,25,255,255,255
482,25,255,255,255
483,25,255,255,255
484,25,255,255,255
485,50,255,255,255
486,25,255,255,255
487,100,255,255,255
488,50,255,255,255
489,25,255,255,255
490,25,255,255,255
491,25,255,255,255
492,25,255,255,255
493,25,255,255,255
494,189500,255,255,255
495,25,255,255,255
496,25,255,255,255
497,25,255,255,255
498,25,255,255,255
499,125,255,255,255
500,125,255,255,255
501,25,255,255,255
502,25,255,255,255
503,25,255,255,255
504,50,255,255,255
505,25,255,255,255
506,25,255,255,255
507,25,255,255,255
508,25,255,255,255
509,25,255,255,255
510,25,255,255,255
511,25,255,255,255
512,50,255,255,255
513,50,255,255,255
514,200,255,255,255
515,25,255,255,255
516,25,255,255,255
517,25,255,255,255
518,50,255,255,255
519,25,255,255,255
520,25,255,255,255
521,25,255,255,255
522,25,255,255,255
523,50,255,255,255
524,25,255,255,255
525,25,255,255,255
526,25,255,255,255
527,75,255,255,255
528,25,255,255,255
529,522575,255,255,255
530,50,255,255,255
531,625,255,255,255
532,25,255,255,255
533,50,255,255,255
534,25,255,255,255
535,25,255,255,255
536,25,255,255,255
537,25,255,255,255
538,200,255,255,255
539,25,255,255,255
540,75,255,255,255
541,50,255,255,255
542,150,255,255,255
543,25,255,255,255
544,25,255,255,255
545,134600,255,255,255
546,25,255,255,255
547,25,255,255,255
548,25,255,255,255
549,25,255,255,255
550,25,255,255,255
551,25,255,255,255
552,25,255,255,255
553,25,255,255,255
554,25,255,255,255
555,25,255,255,255
556,25,255,255,255
557,50,255,255,255
558,25,255,255,255
559,25,255,255,255
560,25,255,255,255
561,225,255,255,255
562,25,255,255,255
563,25,255,255,255
564,25,255,255,255
565,25,255,255,255
566,25,255,255,255
567,25,255,255,255
568,25,255,255,255
569,25,255,255,255
570,25,255,255,255
571,25,255,255,255
572,50,255,255,255
573,50,255,255,255
574,25,255,255,255
575,25,255,255,255
576,125,255,255,255
577,50,255,255,255
578,25,255,255,255
579,25,255,255,255
580,25,255,255,255
581,25,255,255,255
582,25,255,255,255
583,25,255,255,255
584,25,255,255,255
585,25,255,255,255
586,25,255,255,255
587,25,255,255,255
588,25,255,255,255
589,25,255,255,255
590,125,255,255,255
591,25,255,255,255
592,25,255,255,255
593,175,255,255,255
594,25,255,255,255
595,50,255,255,255
596,75,255,255,255
597,25,255,255,255
598,25,255,255,255
599,25,255,255,255
600,25,255,255,255
601,25,255,255,255
602,25,255,255,255
603,25,255,255,255
604,25,255,255,255
605,25,255,255,255
606,100,255,255,255
607,25,255,255,255
608,50,255,255,255
609,25,255,255,255
610,25,255,255,255
611,25,255,255,255
612,50,255,255,255
613,25,255,255,255
614,25,255,255,255
615,50,255,255,255
616,25,255,255,255
617,425,255,255,255
618,25,255,255,255
619,25,255,255,255
620,50,255,255,255
621,25,255,255,255
622,25,255,255,255
623,50,255,255,255
624,25,255,255,255
625,25,255,255,255
626,25,255,255,255
627,25,255,255,255
628,25,255,255,255
629,50,255,255,255
630,25,255,255,255
631,25,255,255,255
632,25,255,255,255
633,3025,255,255,255
634,25,255,255,255
635,325,255,255,255
636,25,255,255,255
637,1375,255,255,255
638,50,255,255,255
639,7325,255,255,255
640,25,255,255,255
641,25,255,255,255
642,25,255,255,255
643,25,255,255,255
644,25,255,255,255
645,25,255,255,255
646,25,255,255,255
647,1325,255,255,255
648,25,255,255,255
649,25,255,255,255
650,50,255,255,255
651,50,255,255,255
652,25,255,255,255
653,50,255,255,255
654,50,255,255,255
655,25,255,255,255
656,25,255,255,255
657,25,255,255,255
658,25,255,255,255
659,25,255,255,255
660,175,255,255,255
661,25,255,255,255
662,25,255,255,255
663,25,255,255,255
664,25,255,255,255
665,25,255,255,255
666,25,255,255,255
667,950,255,255,255
668,25,255,255,255
669,125,255,255,255
670,50,255,255,255
671,25,255,255,255
672,25,255,255,255
673,25,255,255,255
674,50,255,255,255
675,50,255,255,255
676,75,255,255,255
677,25,255,255,255
678,25,255,255,255
679,25,255,255,255
680,25,255,255,255
681,50,255,255,255
682,50,255,255,255
683,25,255,255,255
684,25,255,255,255
685,25,255,255,255
686,25,255,255,255
687,25,255,255,255
688,25,255,255,255
689,25,255,255,255
690,25,255,255,255
691,25,255,255,255
692,25,255,255,255
693,75,255,255,255
694,25,255,255,255
695,125,255,255,255
696,1800,255,255,255
697,25,255,255,255
698,15075,255,255,255
699,25,255,255,255
700,17125,255,255,255
701,25,255,255,255
702,25,255,255,255
703,25,255,255,255
704,25,255,255,255
705,25,255,255,255
706,25,255,255,255
707,25,255,255,255
708,25,255,255,255
709,800,255,255,255
710,25,255,255,255
711,1275,255,255,255
712,75,255,255,255
713,25,255,255,255
714,25,255,255,255
715,25,255,255,255
716,25,255,255,255
717,25,255,255,255
718,75,255,255,255
719,25,255,255,255
720,25,255,255,255
721,25,255,255,255
722,25,255,255,255
723,25,255,255,255
724,25,255,255,255
725,25,255,255,255
726,25,255,255,255
727,50,255,255,255
728,25,255,255,255
729,25,255,255,255
730,25,255,255,255
731,25,255,255,255
732,125,255,255,255
733,25,255,255,255
734,100,255,255,255
735,17050,255,255,255
736,50,255,255,255
737,25,255,255,255
738,25,255,255,255
739,225,255,255,255
740,25,255,255,255
741,50,255,255,255
742,75,255,255,255
743,50,255,255,255
744,25,255,255,255
745,100,255,255,255
746,25,255,255,255
747,25,255,255,255
748,25,255,255,255
749,25,255,255,255
750,5050,255,255,255
751,25,255,255,255
752,50,255,255,255
753,75,255,255,255
754,25,255,255,255
755,25,255,255,255
756,25,255,255,255
757,75,255,255,255
758,25,255,255,255
759,25,255,255,255
760,25,255,255,255
761,25,255,255,255
762,25,255,255,255
763,25,255,255,255
764,25,255,255,255
765,50,255,255,255
766,25,255,255,255
767,25,255,255,255
768,50,255,255,255
769,50,255,255,255
770,100,255,255,255
771,25,255,255,255
772,25,255,255,255
773,25,255,255,255
774,25,255,255,255
775,125,255,255,255
776,50,255,255,255
777,75,255,255,255
778,25,255,255,255
779,25,255,255,255
780,25,255,255,255
781,325,255,255,255
782,25,255,255,255
783,16350,255,255,255
784,25,255,255,255
785,25,255,255,255
786,25,255,255,255
787,25,255,255,255
788,25,255,255,255
789,25,255,255,255
790,1100,255,255,255
791,25,255,255,255
792,25,255,255,255
793,25,255,255,255
794,25,255,255,255
795,25,255,255,255
796,25,255,255,255
797,9225,255,255,255
798,25,255,255,255
799,25,255,255,255
800,25,255,255,255
801,750,255,255,255
802,75,255,255,255
803,25,255,255,255
804,50,255,255,255
805,25,255,255,255
806,775,255,255,255
807,25,255,255,255
808,442875,255,255,255
809,25,255,255,255
810,1350,255,255,255
811,25,255,255,255
812,25,255,255,255
813,50,255,255,255
814,25,255,255,255
815,75,255,255,255
816,2400,255,255,255
817,50,255,255,255
818,25,255,255,255
819,25,255,255,255
820,50,255,255,255
821,25,255,255,255
822,25,255,255,255
823,50,255,255,255
824,25,255,255,255
825,25,255,255,255
826,25,255,255,255
827,25,255,255,255
828,25,255,255,255
829,25,255,255,255
830,25,255,255,255
831,25,255,255,255
832,25,255,255,255
833,25,255,255,255
834,50,255,255,255
835,25,255,255,255
836,75,255,255,255
837,25,255,255,255
838,25,255,255,255
839,25,255,255,255
840,25,255,255,255
841,25,255,255,255
842,25,255,255,255
843,25,255,255,255
844,25,255,255,255
845,75,255,255,255
846,50,255,255,255
847,25,255,255,255
848,25,255,255,255
849,25,255,255,255
850,50,255,255,255
851,25,255,255,255
852,25,255,255,255
853,25,255,255,255
854,50,255,255,255
855,25,255,255,255
856,25,255,255,255
857,50,255,255,255
858,25,255,255,255
859,25,255,255,255
860,525,255,255,255
861,25,255,255,255
862,25,255,255,255
863,425,255,255,255
864,25,255,255,255
865,25,255,255,255
866,25,255,255,255
867,25,255,255,255
868,25,255,255,255
869,25,255,255,255
870,75,255,255,255
871,25,255,255,255
872,50,255,255,255
873,25,255,255,255
874,25,255,255,255
875,75,255,255,255
876,7350,255,255,255
877,25,255,255,255
878,75,255,255,255
879,25,255,255,255
880,375,255,255,255
881,25,255,255,255
882,25,255,255,255
883,75,255,255,255
884,25,255,255,255
885,25,255,255,255
886,25,255,255,255
887,25,255,255,255
888,50,255,255,255
889,25,255,255,255
890,25,255,255,255
891,75,255,255,255
892,25,255,255,255
893,25,255,255,255
894,50,255,255,255
895,25,255,255,255
896,75,255,255,255
897,25,255,255,255
898,25,255,255,255
899,11700,255,255,255
900,50,255,255,255
901,25,255,255,255
902,25,255,255,255
903,25,255,255,255
904,50,255,255,255
905,50,255,255,255
906,25,255,255,255
907,25,255,255,255
908,25,255,255,255
909,25,255,255,255
910,25,255,255,255
911,25,255,255,255
912,50,255,255,255
913,25,255,255,255
914,25,255,255,255
915,25,255,255,255
916,25,255,255,255
917,25,255,255,255
918,25,255,255,255
919,25,255,255,255
920,89550,255,255,255
921,50,255,255,255
922,3250,255,255,255
923,25,255,255,255
924,25,255,255,255
925,250,255,255,255
926,25,255,255,255
927,25,255,255,255
928,50,255,255,255
929,50,255,255,255
930,50,255,255,255
931,25,255,255,255
932,25,255,255,255
933,25,255,255,255
934,50,255,255,255
935,25,255,255,255
936,25,255,255,255
937,25,255,255,255
938,25,255,255,255
939,25,255,255,255
940,25,255,255,255
941,25,255,255,255
942,25,255,255,255
943,50,255,255,255
944,75,255,255,255
945,25,255,255,255
946,1200,255,255,255
947,25,255,255,255
948,50,255,255,255
